finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
middle,M002,158.617,25.089,157.74122583145038,12.33541323191271,-0.00038324686,-0.005574962,0.0072216773,0.010793129,0.00045544165,0.045134597,0.99490404,-0.018109815,0.099186614,0.009131249,brown_exact,1.4521282768960536e-14,1.4521282768960536e-14,ray_hit,0.0,4.2632564e-14,right_middip_roll_rubber_link,737
middle,M003,197.788,26.563,203.13241632408116,12.404457683835318,0.0021280583,-0.005587478,0.0072428533,0.010807658,0.0029668147,0.045141917,0.98965555,0.014070074,0.14277239,0.009391883,brown_exact,1.621132128783716e-14,1.621132128783716e-14,ray_hit,0.0,3.5527137e-15,right_middip_roll_rubber_link,729
middle,M004,120.017,27.718,112.02045904487514,12.25939792031788,-0.002874004,-0.005516753,0.0071408884,0.010704657,-0.0020356467,0.04511368,0.9880014,-0.08673398,0.1277908,0.009470308,brown_exact,7.263863829320982e-15,7.263863829320982e-15,ray_hit,0.0,3.5527137e-15,right_middip_roll_rubber_link,932
middle,M005,233.017,31.523,248.83726909741023,12.359017919918188,0.0045926464,-0.0055117486,0.007141465,0.010674707,0.0054309443,0.045117464,0.9835657,0.14162084,0.111991554,0.01012286,brown_exact,7.009541763466422e-12,7.009541763466422e-12,ray_hit,0.0,7.01417e-12,right_middip_roll_rubber_link,627
middle,M006,85.175,33.106,63.52161724408646,11.009764398307581,-0.005322514,-0.00538466,0.0068846,0.010443556,-0.0044851033,0.045012083,0.9795111,-0.16348217,0.117607936,0.010233349,brown_exact,6.124266665000091e-12,6.124266665000091e-12,ray_hit,0.0,6.15506e-12,right_middip_roll_rubber_link,1051
middle,M007,264.338,37.563,300.319976674225,9.782481562766037,0.0068990025,-0.0052683256,0.006655853,0.010160302,0.0077354806,0.044920355,0.93662435,0.33193684,0.11203903,0.010938549,brown_exact,3.4552954252264433e-12,3.4552954252264433e-12,ray_hit,0.0,3.4745466e-12,right_middip_roll_rubber_link,662
middle,M008,53.956,39.67,6.271610611928253,7.425865739809865,-0.0075189564,-0.005028222,0.00621086,0.009735228,-0.006684086,0.04475116,0.8625112,-0.49017668,0.12570304,0.010972352,brown_exact,7.0273815276087156e-12,7.0273815276087156e-12,ray_hit,0.0,7.0355644e-12,right_middip_roll_rubber_link,1211
middle,M009,294.568,45.281,370.5212492545446,4.53757904141581,0.008640086,-0.0045683286,0.005492686,0.008854897,0.009471921,0.04452663,0.57540894,0.81069696,0.1080511,0.011211169,monotonic_extrapolation,0.7591844285019974,1.4527727658641964e-14,ray_hit,0.0,7.1054274e-15,right_middip_roll_rubber_link,461
middle,M010,24.519,47.86,-75.68365652125692,-0.24120429297575186,-0.009028612,-0.004267848,0.0049150693,0.008307702,-0.008198841,0.04429951,0.52358323,-0.84521365,0.10711917,0.011130511,monotonic_extrapolation,8.912501118599508,4.4768104349687795e-13,ray_hit,0.0,4.3062643e-13,right_middip_roll_rubber_link,1187
middle,M011,159.08,64.465,158.86724047538155,62.59839159634845,-0.0003959604,-0.0034457655,0.008905223,0.010342097,0.00044111974,0.04781122,0.9725681,-0.018323146,0.23189555,0.009556835,brown_exact,1.3051479479633857e-13,1.3051479479633857e-13,ray_hit,0.0,1.7053026e-13,right_middip_roll_rubber_link,968
middle,M012,193.744,65.408,195.1817203698814,63.000197262803965,0.0020830634,-0.0034309672,0.00893808,0.010344305,0.0029201673,0.047845524,0.9755966,0.0112560615,0.219282,0.009797957,brown_exact,7.845693371714471e-13,7.845693371714471e-13,ray_hit,0.0,8.2777464e-13,right_middip_roll_rubber_link,975
middle,M013,124.554,66.114,122.07660631820181,63.15953979333001,-0.0028819442,-0.003386583,0.008850597,0.010270427,-0.0020451352,0.047810372,0.97122425,-0.0750907,0.22601953,0.0099049285,brown_exact,4.3770567477160327e-13,4.3770567477160327e-13,ray_hit,0.0,4.7664655e-13,right_middip_roll_rubber_link,763
