finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
middle,M002,158.617,25.089,157.74122583145038,12.33541323191271,-0.00038324686,-0.005574962,0.0072216773,0.010793129,0.00045544165,0.045134597,0.99490404,-0.018109815,0.099186614,0.009131249,brown_exact,1.4521282768960536e-14,1.4521282768960536e-14,ray_hit,0.0,4.2632564e-14,right_middip_roll_rubber_link,737
middle,M003,197.788,26.563,203.13241632408116,12.404457683835318,0.0021280583,-0.005587478,0.0072428533,0.010807658,0.0029668147,0.045141917,0.98965555,0.014070074,0.14277239,0.009391883,brown_exact,1.621132128783716e-14,1.621132128783716e-14,ray_hit,0.0,3.5527137e-15,right_middip_roll_rubber_link,729
middle,M004,120.017,27.718,112.02045904487514,12.25939792031788,-0.002874004,-0.005516753,0.0071408884,0.010704657,-0.0020356467,0.04511368,0.9880014,-0.08673398,0.1277908,0.009470308,brown_exact,7.263863829320982e-15,7.263863829320982e-15,ray_hit,0.0,2.8642893e-14,right_middip_roll_rubber_link,932
middle,M005,233.017,31.523,248.83726909741023,12.359017919918188,0.0045926464,-0.0055117486,0.007141465,0.010674707,0.0054309443,0.045117464,0.9835657,0.14162084,0.111991554,0.01012286,brown_exact,7.009541763466422e-12,7.009541763466422e-12,ray_hit,0.0,6.9857817e-12,right_middip_roll_rubber_link,627
middle,M006,85.175,33.106,63.52161724408646,11.009764398307581,-0.005322514,-0.00538466,0.0068846,0.010443556,-0.0044851033,0.045012083,0.9795111,-0.16348217,0.117607936,0.010233349,brown_exact,6.12426666500009e-12,6.12426666500009e-12,ray_hit,0.0,6.15506e-12,right_middip_roll_rubber_link,1051
middle,M007,264.338,37.563,300.319976674225,9.782481562766037,0.0068990025,-0.0052683256,0.006655853,0.010160302,0.0077354806,0.044920355,0.93662435,0.33193684,0.11203903,0.010938549,brown_exact,3.4552954252264433e-12,3.4552954252264433e-12,ray_hit,0.0,3.4745466e-12,right_middip_roll_rubber_link,662
middle,M008,53.956,39.67,6.271610611927713,7.42586573980941,-0.0075189564,-0.005028222,0.00621086,0.009735228,-0.006684086,0.04475116,0.8625112,-0.49017668,0.12570304,0.010972352,brown_exact,6.811350313106254e-12,6.811350313106254e-12,ray_hit,0.0,6.81084e-12,right_middip_roll_rubber_link,1211
middle,M011,159.08,64.465,158.86724047538155,62.59839159634845,-0.0003959604,-0.0034457655,0.008905223,0.010342097,0.00044111974,0.04781122,0.9725681,-0.018323146,0.23189555,0.009556835,brown_exact,1.3051479479633857e-13,1.3051479479633857e-13,ray_hit,0.0,1.7053026e-13,right_middip_roll_rubber_link,968
middle,M012,193.744,65.408,195.1817203698814,63.000197262803965,0.0020830634,-0.0034309672,0.00893808,0.010344305,0.0029201673,0.047845524,0.9755966,0.0112560615,0.219282,0.009797957,brown_exact,7.845693371714471e-13,7.845693371714471e-13,ray_hit,0.0,8.2777464e-13,right_middip_roll_rubber_link,975
middle,M013,124.554,66.114,122.07660631820187,63.159539793330175,-0.0028819442,-0.003386583,0.008850597,0.010270427,-0.0020451352,0.047810372,0.97122425,-0.0750907,0.22601953,0.0099049285,brown_exact,5.838021392251372e-13,5.838021392251372e-13,ray_hit,0.0,5.7197584e-13,right_middip_roll_rubber_link,763
middle,M014,226.019,68.296,232.0121851958881,63.82012823357675,0.004555215,-0.003342847,0.008853383,0.010213326,0.005391868,0.04784176,0.96484685,0.12926055,0.22882815,0.010502714,brown_exact,5.234182571308814e-14,5.234182571308814e-14,ray_hit,0.0,3.1776438e-14,right_middip_roll_rubber_link,671
middle,M015,93.259,69.693,84.47140157555215,64.23310687656416,-0.00527711,-0.0032231899,0.008608606,0.009995497,-0.0044412967,0.047740366,0.9573093,-0.19692673,0.21160991,0.010599289,brown_exact,3.2165178607611845e-12,3.2165178607611845e-12,ray_hit,0.0,3.2232335e-12,right_middip_roll_rubber_link,1269
middle,M016,255.285,72.8,272.34910252941575,65.00100831146722,0.0068500414,-0.003068227,0.008325528,0.009647494,0.007684691,0.047634225,0.8806354,0.42175603,0.2158777,0.011209439,brown_exact,0.0,0.0,ray_hit,0.0,1.4210855e-14,right_middip_roll_rubber_link,562
