Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0073765,-0.018855,-0.0045877,0,0,0,0.31504,0.00037618,-8.9921E-06,-1.7042E-05,0.00022813,8.8972E-06,0.00029441,0,0,0,0,0,0,../meshes/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,../meshes/base_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_20-00_STARK3NRSP_ID_UPGRADE__SK_20-1;00_STARK3NRSP_ID_UPGRADE__SKE_1-1,right_thumbcmp_roll_link,right_thumbcmp_roll_joint,right_thumbcmp_roll_joint,revolute,-0.001807,-0.016804,-0.045783,0,0,0,base_link,-1,0,0,0,0,0,1.92,,,,,,,,
right_midmcp_yaw_link,-0.00047133,8.9223E-05,0.0051138,0,0,0,0.0083562,6.4044E-07,-1.5948E-09,-3.5886E-08,6.6085E-07,-4.656E-11,5.8732E-07,0,0,0,0,0,0,../meshes/right_midmcp_yaw_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,../meshes/right_midmcp_yaw_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_2-3,right_midmcp_yaw_link,right_midmcp_yaw_joint,right_midmcp_yaw_joint,revolute,-0.0099389,-0.0070042,0.055899,0,0,0,base_link,1,0,0,0,0,-0.26,0.44,,,,,,,,
right_midmcp_roll_link,-0.00023723243761871,0.000468061627042335,0.0226762072269691,0,0,0,0.0609645995057895,1.67149062673257E-05,2.01843335402192E-09,2.73404010120217E-07,1.68976118651908E-05,2.69036435403187E-07,3.4895974257179E-06,0,0,0,0,0,0,../meshes/right_midmcp_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_midmcp_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_16-3,right_midmcp_roll_link,right_midmcp_roll_joint,right_midmcp_roll_joint,revolute,0.001875,0.00029123,0.016,0,0,0,right_midmcp_yaw_link,0,1,0,0,0,-0.05,1.57,,,,,,,,
right_midpip_roll_link,7.86149042585277E-05,0.000320325913068679,0.0184594339624268,0,0,0,0.0325859005457696,3.9662495117973E-06,8.84746124754024E-09,2.32990195775164E-07,3.75897103569866E-06,6.95777168822048E-08,1.77777196485041E-06,0,0,0,0,0,0,../meshes/right_midpip_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_midpip_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_4-3,right_midpip_roll_link,right_midpip_roll_joint,right_midpip_roll_joint,revolute,0.00083832,0.00094455,0.046991,0,0,0,right_midmcp_roll_link,0,1,0,0,0,-0.21,1.57,,,,,,,,
right_middip_roll_link,-0.000507470630418672,0.000241602477261347,0.0142712494210926,0,0,0,0.00833411833491475,7.74689636204186E-07,1.63963132410544E-09,-2.51065856742985E-08,6.15326083564421E-07,1.01480927263128E-08,4.46418153779527E-07,0,0,0,0,0,0,../meshes/right_middip_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_middip_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_3-3,right_middip_roll_link,right_middip_roll_joint,right_middip_roll_joint,revolute,0.0013915,0.00057612,0.029485,0,0,0,right_midpip_roll_link,0,1,0,0,0,-0.35,1.57,,,,,,,,
right_middip_roll_rubber_link,0.00524362601529016,0.000915857361912017,0.0496938696499993,0,0,0,0.00185169919364403,1.04011017755374E-07,7.43451691780492E-10,-1.06900274146333E-08,5.34512834728787E-08,-4.49214550100831E-10,8.50744950555884E-08,0,0,0,0,0,0,../meshes/right_middip_roll_rubber_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_middip_roll_rubber_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_3-rubber-3,right_midpip_roll_link,right_middip_roll_joint,right_middip_roll_rubber_joint,fixed,-0.00139151820394552,-0.000576118195242635,-0.0294848218597647,0,0,0,right_middip_roll_link,0,0,0,,,,,,,,,,,,
right_midpip_roll_touch_link,0.00444810865618336,0.000249704657842392,0.0162052014512474,0,0,0,0.000509113074780121,4.83715458134311E-08,5.19250824814656E-10,5.98749532747539E-09,2.84870932844071E-08,-4.81640702386459E-10,4.63559996892396E-08,0,0,0,0,0,0,../meshes/right_midpip_roll_touch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_midpip_roll_touch_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_4 - touch2-3,right_midpip_roll_link,right_midpip_roll_joint,right_midpip_roll_touch_joint,fixed,0,0,0,0,0,0,right_midpip_roll_link,0,0,0,,,,,,,,,,,,
right_midpip_roll_rubber_link,0.00444810865618337,0.000249704657842392,0.0162052014512474,0,0,0,0.000509113074780121,4.83715458134311E-08,5.19250824814654E-10,5.98749532747539E-09,2.84870932844071E-08,-4.8164070238646E-10,4.63559996892396E-08,0,0,0,0,0,0,../meshes/right_midpip_roll_rubber_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_midpip_roll_rubber_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_4 - touch2-3,right_midpip_roll_link,right_midpip_roll_joint,right_midpip_roll_rubber_joint,fixed,0,0,0,0,0,0,right_midpip_roll_link,0,0,0,,,,,,,,,,,,
right_midmcp_roll_touch_link,0.00465130911717403,0.000436182582462037,0.0255802117848007,0,0,0,0.000906407083912489,1.43292976685055E-07,8.32338183815665E-10,6.33830843461928E-09,1.06949039430379E-07,1.9981624666422E-10,9.22634217270494E-08,0,0,0,0,0,0,../meshes/right_midmcp_roll_touch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_midmcp_roll_touch_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_16 - touch2-3,right_midmcp_roll_link,right_midmcp_roll_joint,right_midmcp_roll_touch_joint,fixed,0,0,0,0,0,0,right_midmcp_roll_link,0,0,0,,,,,,,,,,,,
right_midmcp_roll_rubber_link,0.00465130911717403,0.000436182582462035,0.0255802117848007,0,0,0,0.000906407083912489,1.43292976685054E-07,8.32338183815667E-10,6.33830843461929E-09,1.06949039430379E-07,1.998162466642E-10,9.22634217270493E-08,0,0,0,0,0,0,../meshes/right_midmcp_roll_rubber_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_midmcp_roll_rubber_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_16 - touch2-3,right_midmcp_roll_link,right_midmcp_roll_joint,right_midmcp_roll_rubber_joint,fixed,0,0,0,0,0,0,right_midmcp_roll_link,0,0,0,,,,,,,,,,,,
