image,marker_id,u_px,v_px,diameter_px
reference_median.png,M002,158.617,25.089,9.960
reference_median.png,M003,197.788,26.563,7.933
reference_median.png,M004,120.017,27.718,8.292
reference_median.png,M005,233.017,31.523,7.067
reference_median.png,M006,85.175,33.106,6.911
reference_median.png,M007,264.338,37.563,6.665
reference_median.png,M008,53.956,39.670,6.511
reference_median.png,M009,294.568,45.281,5.640
reference_median.png,M010,24.519,47.860,5.897
reference_median.png,M011,159.080,64.465,23.028
reference_median.png,M012,193.744,65.408,7.441
reference_median.png,M013,124.554,66.114,7.138
reference_median.png,M014,226.019,68.296,6.562
reference_median.png,M015,93.259,69.693,6.659
reference_median.png,M016,255.285,72.800,5.497
reference_median.png,M017,63.793,73.911,6.831
reference_median.png,M018,284.847,77.724,6.747
reference_median.png,M019,32.809,78.823,6.684
reference_median.png,M020,314.420,82.268,6.047
reference_median.png,M021,1.338,86.467,5.050
reference_median.png,M022,159.385,98.764,6.628
reference_median.png,M023,190.355,99.304,6.561
reference_median.png,M024,128.993,99.930,6.187
reference_median.png,M025,218.732,101.118,5.822
reference_median.png,M026,100.677,101.911,6.177
reference_median.png,M027,245.641,103.280,5.031
reference_median.png,M028,73.470,104.357,6.007
reference_median.png,M029,273.662,108.135,5.867
reference_median.png,M030,43.175,109.412,6.078
reference_median.png,M031,302.383,113.968,6.005
reference_median.png,M032,14.841,118.514,6.259
reference_median.png,M033,186.886,127.893,5.930
reference_median.png,M034,159.826,128.000,6.060
reference_median.png,M035,132.692,128.520,5.307
reference_median.png,M036,212.563,128.651,5.104
reference_median.png,M037,107.485,129.564,5.288
reference_median.png,M038,237.167,130.788,4.843
reference_median.png,M039,82.513,132.032,5.116
reference_median.png,M040,264.476,135.653,5.194
reference_median.png,M041,52.877,137.663,6.115
reference_median.png,M042,291.589,144.150,5.516
reference_median.png,M043,29.014,147.470,5.133
reference_median.png,M044,184.192,151.951,4.329
reference_median.png,M045,159.986,152.091,4.933
reference_median.png,M046,136.136,152.394,4.836
reference_median.png,M047,207.290,152.573,4.705
reference_median.png,M048,312.022,153.095,4.365
reference_median.png,M049,113.203,153.339,4.574
reference_median.png,M050,227.871,154.222,13.773
reference_median.png,M051,88.410,154.834,15.159
reference_median.png,M052,8.070,156.659,5.352
reference_median.png,M053,255.711,160.912,5.176
reference_median.png,M054,61.788,163.898,5.985
reference_median.png,M055,280.575,169.573,4.270
reference_median.png,M056,160.092,171.974,4.234
reference_median.png,M057,182.108,172.349,3.869
reference_median.png,M058,138.806,172.666,4.303
reference_median.png,M059,40.579,172.868,4.180
reference_median.png,M060,203.158,173.287,4.271
reference_median.png,M061,117.680,174.056,4.423
reference_median.png,M062,224.528,176.259,4.692
reference_median.png,M063,95.881,177.807,4.377
reference_median.png,M064,297.817,178.290,3.660
reference_median.png,M065,22.359,183.514,4.895
reference_median.png,M066,248.248,183.848,5.221
reference_median.png,M067,69.887,187.660,5.643
reference_median.png,M068,160.549,189.464,3.162
reference_median.png,M069,180.320,189.677,3.621
reference_median.png,M070,140.505,190.197,3.225
reference_median.png,M071,200.465,191.276,3.735
reference_median.png,M072,120.795,192.270,3.673
reference_median.png,M073,316.061,192.761,4.500
reference_median.png,M074,266.356,194.828,4.827
reference_median.png,M075,220.852,195.382,3.755
reference_median.png,M076,100.159,197.442,4.037
reference_median.png,M077,3.839,198.901,5.622
reference_median.png,M078,54.586,198.983,3.882
reference_median.png,M079,244.579,204.647,4.251
reference_median.png,M080,160.410,205.776,9.978
reference_median.png,M081,179.625,206.032,3.606
reference_median.png,M082,281.838,206.528,3.957
reference_median.png,M083,141.537,206.763,3.266
reference_median.png,M084,78.767,207.440,3.787
reference_median.png,M085,198.823,207.745,3.787
reference_median.png,M086,122.550,209.139,3.723
reference_median.png,M087,38.137,211.701,4.468
reference_median.png,M088,218.068,211.702,3.688
reference_median.png,M089,103.748,214.202,3.613
reference_median.png,M090,258.688,214.786,4.850
reference_median.png,M091,64.540,219.313,4.609
reference_median.png,M092,238.709,219.832,3.559
reference_median.png,M093,160.600,222.774,3.787
reference_median.png,M094,178.731,223.399,3.267
reference_median.png,M095,142.570,223.736,3.178
reference_median.png,M096,84.812,223.801,3.423
reference_median.png,M097,296.325,224.149,4.894
reference_median.png,M098,197.300,225.753,3.267
reference_median.png,M099,124.305,227.202,4.377
reference_median.png,M100,214.618,230.145,4.123
reference_median.png,M101,107.395,232.037,2.791
